Municipalities,Alder,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hele landet,Ukendt alder,-,-,-,<5,-,-,-,-,-,-,-,-,<5,<5,-,<5,<5,<5,-,<5,<5,13,68,55
Hele landet,Alle aldre,17613,18244,17162,16594,16231,15882,15543,15177,15758,15387,15434,15334,15859,16799,16877,16809,16313,16507,16318,15717,15662,14426,14182,14210
Hele landet,15-19,2321,2348,2203,2080,1940,1970,1938,1928,2111,2307,2408,2556,2666,2937,2850,2622,2468,2514,2339,2118,1958,1694,1376,1340
Hele landet,20-24,4137,4261,3947,3603,3458,3310,3156,3147,3180,3146,3087,3199,3432,3832,4025,4247,4270,4372,4397,4184,4187,3798,3609,3518
Hele landet,25-29,4177,4122,3865,3755,3512,3475,3485,3215,3278,3036,2986,2941,2946,3189,3074,3118,3064,3245,3323,3475,3637,3374,3538,3617
Hele landet,30-34,3736,4018,3852,3752,3777,3603,3338,3192,3292,3174,3178,3020,3132,3112,3135,3069,2912,2773,2758,2710,2673,2608,2592,2701
Hele landet,35-39,2272,2454,2383,2403,2612,2550,2701,2777,2831,2648,2651,2411,2521,2580,2599,2578,2504,2470,2366,2144,2115,1936,2018,1988
Hele landet,40-44,865,929,827,909,852,890,852,848,994,998,1042,1126,1091,1066,1083,1084,996,1032,1035,1001,991,925,882,910
Hele landet,45-49,105,112,85,91,80,84,73,70,72,78,82,81,70,81,111,89,98,98,100,84,97,78,99,81
København,Alle aldre,2821,3340,3139,2980,2924,2716,2701,2567,2655,2573,2651,2506,2624,2775,2776,2710,2596,2559,2554,2486,2568,2180,2156,2319
København,15-19,269,307,280,255,262,212,226,209,250,248,294,286,301,330,314,260,265,200,209,181,202,158,91,130
København,20-24,888,1016,936,841,804,707,698,619,603,624,612,638,673,736,798,814,783,772,743,747,702,596,551,572
København,25-29,803,928,890,877,816,835,787,740,745,688,693,597,623,685,635,615,580,664,663,666,735,578,621,700
København,30-34,531,677,638,619,608,560,544,543,554,541,551,527,550,500,534,527,505,444,472,449,421,387,421,458
København,35-39,249,286,311,290,339,297,338,366,373,352,363,317,347,366,334,351,340,345,333,288,334,311,321,307
København,40-44,70,113,77,90,90,98,97,85,122,109,128,129,125,148,154,135,110,128,127,146,161,142,138,136
København,45-49,11,13,7,8,5,7,11,5,8,11,10,12,5,10,7,8,13,6,7,9,13,8,13,16
Frederiksberg,Alle aldre,434,423,428,408,404,374,363,351,373,379,381,333,370,398,365,376,377,353,332,324,323,337,262,328
Frederiksberg,15-19,30,47,36,34,23,18,25,33,30,27,34,35,32,41,46,26,28,29,28,18,19,18,11,13
Frederiksberg,20-24,109,105,105,78,91,80,74,71,81,74,72,72,87,85,90,84,76,92,79,87,79,92,67,75
Frederiksberg,25-29,127,112,116,114,96,96,105,78,86,81,93,65,71,86,72,81,91,84,77,74,73,74,67,86
Frederiksberg,30-34,92,97,100,103,107,103,83,79,88,106,90,81,82,94,73,87,92,80,65,57,64,80,55,74
Frederiksberg,35-39,46,51,47,60,65,62,60,71,60,66,67,55,60,61,55,69,68,50,57,51,59,39,35,49
Frederiksberg,40-44,29,9,22,19,21,14,16,18,28,23,25,24,36,26,27,28,19,18,26,36,28,33,24,29
