Municipalities,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hele landet,112860,117333,122174,127671,131454,136932,141861,147157,151255,160083,166784,173270,177530,176201,179308,195011,199057,204037,209655,214009,220185,223438,229875,235312
København,101758,106144,109450,115502,120124,126051,130923,137294,141610,148965,155028,161706,164751,167519,171951,184281,189182,192990,198131,204008,209991,215215,220945,228338
Frederiksberg,120801,127212,131103,138973,146269,151840,158658,164326,167543,177691,185689,195470,195834,194175,199731,219475,224754,230908,238371,245712,252988,258624,267820,276683
Dragør,137056,145144,150963,158566,164352,169155,176031,183618,192308,201595,209173,216054,221681,220100,217104,242929,261933,264648,270354,279821,289465,295922,303980,311793
Tårnby,119115,123870,127729,133199,137477,141912,147692,154169,160771,169423,175425,181010,183218,186265,189340,203459,209500,212671,217423,222582,227877,232591,239104,245993
Albertslund,112856,116396,120198,125918,130219,133963,139040,143416,146751,153294,156611,161196,164943,169042,172800,183831,182828,186626,188093,192715,196771,199705,202561,208399
Ballerup,117453,121686,125963,132654,136861,143053,147257,154086,157965,165626,171156,176236,179957,182901,183351,197401,202452,206484,210474,219824,223323,225245,230366,236121
Brøndby,110050,113460,117849,123665,126543,132274,136994,142231,146435,153287,158277,162922,165536,170314,171557,182312,185604,187577,190532,193785,197052,201440,205179,211029
Gentofte,155250,166672,178773,189353,192769,209416,219245,223994,232067,249015,286140,300141,301662,275209,274992,321327,339165,351659,363825,378676,425302,412157,419650,427370
Gladsaxe,116897,121459,127724,133566,138007,143628,149746,156891,161841,169779,179654,183994,186991,189655,191061,207801,213516,217354,224069,230224,235249,238495,245192,250679
Glostrup,116190,120267,124938,130884,135302,141710,146577,152003,157157,166114,171722,176367,181519,184220,187212,201063,202928,205223,210408,213912,219926,222384,228242,232928
Herlev,115151,119272,124169,129825,134415,139124,143401,149787,154988,161423,168435,173950,178441,182484,185132,199259,203029,207286,213345,215922,220790,225266,229138,236643
