Municipalities,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hele landet,5215605,5250917,5275027,5294762,5313474,5329921,5349110,5368248,5383403,5397539,5411307,5427367,5446989,5475695,5511355,5534637,5560534,5580413,5602536,5627145,5659624,5707160,5748691,5781107
København,471300,476751,483658,487969,491082,495699,499148,500531,501285,501664,502362,501158,503699,509861,518574,528208,539542,549050,559440,569557,580184,591481,602481,613288
Frederiksberg,88002,88789,89230,89507,90227,90327,91076,91322,91435,91721,91886,91855,92234,93444,95029,96718,98782,100215,102029,102717,103192,104481,105037,104410
Ballerup,45356,45310,45080,45276,45286,45317,45724,46342,46443,46610,46759,46654,46914,47116,47398,47652,47930,47994,48211,48514,48355,48224,48231,48295
Brøndby,33579,34388,34458,34360,34391,34354,34498,34542,34676,34708,34513,34247,33947,33831,33762,33795,34021,34084,34210,34580,35050,35322,35594,35538
Dragør,12484,12519,12725,12778,12789,12753,12912,13075,13028,13076,13156,13154,13184,13261,13411,13564,13717,13692,13917,13977,14028,14142,14288,14272
Gentofte,66508,66706,66986,67402,67709,67957,68094,68213,68314,68704,68991,68623,68672,68913,69794,71052,71714,72814,73360,74282,74932,75350,75805,75803
Gladsaxe,61369,61487,61459,61611,61783,61867,61896,61914,62006,61993,62007,61735,61945,62562,63233,64102,64951,65303,66030,66656,67347,67914,68775,69484
Glostrup,20263,20181,20178,20104,20102,20229,20278,20412,20586,20793,20785,20699,20618,20673,21008,21296,21384,21650,21869,22066,22357,22461,22528,22663
Herlev,27162,27212,27285,27269,27350,27365,27457,27498,27318,27272,27166,27023,26743,26567,26635,26556,26597,26608,26958,27706,28148,28423,28406,28572
Albertslund,29389,29207,29442,29411,29315,29331,29201,29130,28839,28498,28146,27853,27608,27602,27706,27730,27800,27864,27824,27728,27806,27880,27896,27743
Hvidovre,48675,48730,49087,48958,49171,49270,49454,49674,49829,49952,49863,49762,49422,49380,49366,49724,50081,50600,51341,51842,52380,52831,52964,53282
Høje-Taastrup,45325,45341,45424,45522,45910,45948,45892,45947,45754,45556,45553,46257,46683,47158,47400,47664,47753,48081,48471,48807,49230,49960,50246,50596
Lyngby-Taarbæk,49578,49860,50317,50196,50474,50609,50853,51102,51344,51507,51611,51908,51751,51449,51532,52237,52754,53251,53840,54237,54778,55097,55240,55472
Rødovre,35490,35607,35549,35839,36004,36317,36561,36591,36619,36391,36312,36506,36244,36144,36228,36233,36524,36883,37351,37552,37743,38002,38492,39343
