Geografi;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
København;258125;262170;266995;272514;277632;283184;287906;293268;299236;304834;310423
Frederiksberg;49581;50275;51139;52223;53022;53935;54361;54610;55107;55263;54990
Dragør;6786;6855;6963;7038;7010;7119;7132;7189;7215;7284;7274
Tårnby;20580;20698;20776;20949;21093;21262;21318;21523;21692;21751;21769
Albertslund;13792;13835;13893;13934;13917;13894;13880;13930;13953;13996;13911
Ballerup;24001;24138;24310;24406;24433;24553;24728;24654;24623;24658;24693
Brøndby;17355;17307;17326;17405;17434;17492;17663;17869;17989;18193;18119
Gentofte;36617;37063;37695;38010;38633;38696;39171;39551;39602;39758;39800
Gladsaxe;32085;32371;32769;33162;33202;33566;33904;34210;34381;34707;35022
Glostrup;10669;10786;10891;10933;11091;11188;11255;11302;11328;11333;11394
Herlev;13737;13736;13697;13729;13698;13862;14257;14506;14660;14668;14707
Hvidovre;25241;25198;25424;25474;25718;26095;26286;26612;26848;26877;27016
Høje-Taastrup;23675;23789;23931;23967;24172;24355;24525;24670;24988;25039;25194
Ishøj;10360;10395;10336;10448;10617;10591;10762;10980;11160;11350;11455
Lyngby-Taarbæk;26792;26819;27084;27339;27550;27763;28044;28238;28276;28330;28445
Rødovre;18599;18710;18700;18792;18981;19129;19273;19315;19470;19702;20119
Vallensbæk;6211;6712;7033;7248;7318;7438;7548;7617;7714;7870;8174
Allerød;11896;12084;12277;12283;12250;12297;12361;12477;12627;12690;12820
Egedal;20338;20635;20938;20984;21114;21159;21279;21453;21518;21661;21646
Fredensborg;20213;20238;20237;20336;20447;20349;20332;20476;20642;20903;21030
Frederikssund;22195;22274;22288;22325;22387;22407;22450;22406;22552;22678;22787
Furesø;19383;19471;19704;19670;19678;19644;19724;20026;20543;20745;20949
Gribskov;20323;20403;20409;20455;20446;20450;20506;20533;20633;20688;20644
Halsnæs;15472;15561;15621;15609;15581;15478;15381;15404;15539;15606;15690
Helsingør;31076;31183;31260;31346;31429;31495;31528;31609;31829;31971;32212
Hillerød;23785;24093;24251;24512;24680;24741;24953;25084;25312;25484;25698
Hørsholm;12805;12843;12883;12921;12916;13024;13113;13166;13257;13211;13262
Rudersdal;27870;27887;28197;28337;28232;28297;28369;28460;28609;28853;28824
Bornholm;21737;21566;21345;21156;20924;20587;20350;20112;20069;20043;20010
Greve;24201;24280;24246;24347;24285;24317;24392;24741;25083;25317;25343
Køge;28640;28740;28908;28969;28989;29205;29497;29981;30191;30263;30367
Lejre;13321;13431;13430;13437;13517;13478;13528;13591;13645;13684;13840
Roskilde;41100;41377;41720;41998;42298;42537;42878;43230;43769;44159;44439
Solrød;10504;10504;10574;10607;10722;10711;10799;10904;10985;11172;11389
Faxe;17720;17679;17599;17613;17463;17450;17431;17453;17487;17696;17793
Guldborgsund;32062;31837;31630;31563;31157;30795;30640;30530;30557;30623;30599
